iter	Passed	Remaining
612	7275	4593
613	7285	4580
614	7297	4568
615	7309	4556
616	7321	4544
617	7333	4533
618	7345	4520
619	7356	4508
620	7368	4496
621	7378	4484
622	7390	4472
623	7401	4460
624	7415	4449
625	7425	4436
626	7437	4424
627	7448	4412
628	7461	4400
629	7472	4388
630	7484	4376
631	7496	4365
632	7507	4352
633	7518	4340
634	7530	4328
635	7541	4316
636	7553	4304
637	7565	4292
638	7577	4281
639	7591	4270
640	7601	4257
641	7614	4245
642	7625	4233
643	7636	4221
644	7647	4209
645	7659	4197
646	7670	4185
647	7684	4174
648	7695	4162
649	7707	4150
650	7718	4138
651	7729	4125
652	7739	4112
653	7751	4101
654	7763	4089
655	7774	4077
656	7786	4064
657	7797	4052
658	7808	4040
659	7820	4028
660	7831	4016
661	7843	4004
662	7854	3992
663	7866	3980
664	7878	3968
665	7890	3957
666	7902	3945
667	7914	3933
668	7924	3920
669	7937	3909
670	7949	3897
671	7959	3884
672	7970	3872
673	7982	3860
674	7994	3849
675	8004	3836
676	8016	3824
677	8028	3812
678	8040	3801
679	8052	3789
680	8064	3777
681	8077	3766
682	8088	3753
683	8097	3741
684	8109	3729
685	8120	3716
686	8132	3705
687	8144	3693
688	8155	3681
689	8169	3670
690	8179	3657
691	8191	3645
692	8203	3634
693	8214	3621
694	8226	3610
695	8238	3598
696	8250	3586
697	8260	3573
698	8271	3561
699	8283	3550
700	8295	3538
701	8307	3526
702	8319	3514
703	8330	3502
704	8341	3490
705	8352	3478
706	8364	3466
707	8377	3455
708	8388	3443
709	8400	3431
710	8412	3419
711	8424	3407
712	8435	3395
713	8447	3383
714	8458	3371
715	8472	3360
716	8483	3348
717	8494	3336
718	8506	3324
719	8518	3312
720	8531	3301
721	8542	3289
722	8553	3276
723	8563	3264
724	8574	3252
725	8587	3240
726	8598	3229
727	8610	3216
728	8622	3205
729	8633	3193
730	8645	3181
731	8657	3169
732	8669	3157
733	8680	3145
734	8692	3134
735	8704	3122
736	8716	3110
737	8727	3098
738	8739	3086
739	8751	3075
